Property Id,Address,Customer Id,Customer Name,Total Cost,yearBuilt,Sale Date,Seller,Image
54,"6822 MARSDEN ST , Philadelphia, PA 19135",17,MILSTEAD & ASSOCIATES LLC,"37,308.19",1940,August 2  2016,WELLS FARGO BANK  N.A.,https://residentialpropertyinpune.files.wordpress.com/2013/02/pune-properties2.jpg
55,"4122 OLD YORK RD , Philadelphia, PA 19140",17,MILSTEAD & ASSOCIATES LLC,"70,923.54",1940,August 2  2016,FEDERAL NATIONAL MORTGAGE ASSOCIATION,http://www.investors-clinic.com/updic/20821474875215_overview22.jpg
56,"2544 N 11TH ST , Philadelphia, PA 19133",17,MILSTEAD & ASSOCIATES LLC,"57,614.09",1915,August 2  2016,THE BANK OF NEW YORK MELLON FKA THE BANK OF NEW YORK  AS TRUSTEE FOR THE CERTIFICATEHOLDERS OF THE CWABS  INC.  ASSET-BACKED CERTIFICATES  SERIES 2006-11,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/WIPO3.JPG/220px-WIPO3.JPG
57,"3154 G ST , Philadelphia, PA 19134",18,NATIONSTAR HECM ACQUISITION TRUST 2016-2  WILMINGTON SAVINGS FUND SOCIETY  FSB  NOT INDIVIDUALLY  BUT SOLELY AS TRUSTEE,"30,922.67",1920,October 4  2016,NATIONSTAR MORTGAGE LLC D/B/A CHAMPION MORTGAGE COMPANY,http://firstohiohome.com/wp-content/uploads/2016/06/iStock_41623154_LARGE.jpg
58,"5563 MIRIAM RD , Philadelphia, PA 19124",19,NEWLANDS ASSET HOLDING TRUST,"42,404.45",1955,August 2  2016,NEWLANDS ASSET HOLDING TRUST CARE OF U.S. BANK TRUST NATIONAL ASSOCIATION,http://www.vancouversun.com/cms/binary/4374153.jpg
59,"5029 DITMAN ST , Philadelphia, PA 19124",20,PARKER MCCAY,"36,498.03",1945,August 2  2016,DEUTSCH BANK NATIONAL TRUST COMPANY,http://www.veteransflorida.org/wp-content/uploads/2016/05/Florida-home.jpg
60,"159 MAYLAND ST , Philadelphia, PA 19144",20,PARKER MCCAY,"45,591.83",1905,August 2  2016,VISIO FINANCIAL SERVICES  INC.,https://images3.roofandfloor.com/listing_398f24ec2df475b75ae01fbd1a1473cd/1024x600/visvas-abhijit-villas-in-anaiyur-elevation-photo-10ua.jpg
61,"2327 E SERGEANT ST , Philadelphia, PA 19125",21,PHELAN HALLINAN  LLP,"40,666.00",1921,September 13  2016,WELLS FARGO BANK  NA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-VCvf8z_mN9aJqJ6KmUPX2H6lgv9cZG9zN7mN5lHMKSrJA-wo
62,"134 E WALNUT LN , Philadelphia, PA 19144",21,PHELAN HALLINAN  LLP,"64,105.40",2006,August 2  2016,LSF9 MASTER PARTICIPATION TRUST,http://static-news.moneycontrol.com/static-mcnews/2017/11/DSC_7082-770x435.png
63,"146 E DUVAL ST , Philadelphia, PA 19144",21,PHELAN HALLINAN  LLP,"46,606.18",1925,August 2  2016,WELLS FARGO BANK  NA,https://media.onthemarket.com/properties/4154442/467609880/image-0-1024x1024.jpg
64,"1131 HELLERMAN ST , Philadelphia, PA 19111",21,PHELAN HALLINAN  LLP,"42,265.85",1947,September 13  2016,LSF9 MASTER PARTICIPATION TRUST,https://metrouk2.files.wordpress.com/2017/11/mg_pink_home_sthebys_comp.jpg?quality=80&strip=all&crop=0px%2C0px%2C1200px%2C630px&resize=1200%2C630
65,"4408 SHERWOOD RD , Philadelphia, PA 19131",21,PHELAN HALLINAN  LLP,"45,638.97",1925,October 4  2016,WELLS FARGO BANK  NA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFGLU9Yk5whvOGKIVV2cjER4L_GnEg9t2zTBsw_V6CFv6IsnfQ
66,"6510 KEYSTONE ST , Philadelphia, PA 19135",21,PHELAN HALLINAN  LLP,"22,760.52",1960,September 13  2016,BANK OF AMERICA  N.A.,http://www.dagurinfra.in/wp-content/gallery/dewas-highway-city/golf2.jpg
